State,Hispanic/Latino,White,Black,Asian/Pacific Islander,Native American,state_pop_raw,percent_state_us_pop
AL,0.04,0.66,0.27,0.01,0.01,"4,874,747",0.01496610372
AK,0.07,0.61,0.03,0.07,0.14,"739,795",0.002271266324
AZ,0.31,0.55,0.04,0.03,0.04,"7,016,270",0.02154085628
AR,0.07,0.72,0.15,0.02,0.01,"3,004,279",0.009223525058
CA,0.39,0.37,0.06,0.14,0.00,"39,536,653",0.1213826378
CO,0.22,0.68,0.04,0.03,0.01,"5,607,154",0.01721468792
CT,0.16,0.67,0.10,0.05,0.00,"3,588,184",0.01101618892
DE,0.09,0.62,0.22,0.04,0.00,"961,939",0.002953277132
DC,0.11,0.37,0.45,0.04,0.00,"693,972",0.002130583788
FL,0.26,0.54,0.15,0.03,0.00,"20,984,400",0.0644248218
GA,0.10,0.53,0.31,0.04,0.00,"10,429,379",0.03201954231
HI,0.11,0.22,0.02,0.37,0.00,"1,427,538",0.004382726276
ID,0.12,0.82,0.01,0.01,0.01,"1,716,943",0.005271237053
IL,0.17,0.61,0.14,0.05,0.00,"12,802,023",0.03930386623
IN,0.07,0.79,0.09,0.02,0.00,"6,666,818",0.02046799344
IA,0.06,0.86,0.03,0.03,0.00,"3,145,711",0.009657739588
KS,0.12,0.76,0.06,0.03,0.01,"2,913,123",0.008943664349
KY,0.04,0.85,0.08,0.01,0.00,"4,454,189",0.01367493627
LA,0.05,0.59,0.32,0.02,0.01,"4,684,333",0.01438150811
ME,0.02,0.93,0.01,0.01,0.01,"1,335,907",0.004101407256
MD,0.10,0.51,0.29,0.06,0.00,"6,052,177",0.01858096609
MA,0.12,0.72,0.07,0.07,0.00,"6,859,819",0.02106053147
MI,0.05,0.75,0.14,0.03,0.01,"9,962,311",0.03058558314
MN,0.05,0.80,0.06,0.05,0.01,"5,576,606",0.01712090161
MS,0.03,0.57,0.38,0.01,0.00,"2,984,100",0.009161572918
MO,0.04,0.79,0.11,0.02,0.00,"6,113,532",0.01876933387
MT,0.04,0.86,0.00,0.01,0.06,"1,050,493",0.003225149365
NE,0.11,0.79,0.05,0.02,0.01,"1,920,076",0.005894881633
NV,0.29,0.49,0.09,0.08,0.01,"2,998,039",0.009204367451
NH,0.04,0.90,0.01,0.03,0.00,"1,342,795",0.004122554307
NJ,0.20,0.55,0.13,0.10,0.00,"9,005,644",0.02764849173
NM,0.49,0.37,0.02,0.01,0.09,"2,088,070",0.006410644939
NY,0.19,0.55,0.14,0.09,0.00,"19,849,399",0.06094022195
NC,0.09,0.63,0.21,0.03,0.01,"10,273,419",0.03154072494
ND,0.04,0.84,0.03,0.02,0.05,"755,393",0.002319154201
OH,0.04,0.79,0.12,0.02,0.00,"11,658,609",0.03579343738
OK,0.11,0.66,0.07,0.02,0.07,"3,930,864",0.01206826084
OR,0.13,0.76,0.02,0.04,0.01,"4,142,776",0.01271885808
PA,0.07,0.76,0.11,0.04,0.00,"12,805,537",0.03931465466
RI,0.15,0.72,0.05,0.04,0.00,"1,059,639",0.003253228768
SC,0.06,0.64,0.27,0.02,0.00,"5,024,369",0.01542546261
SD,0.04,0.82,0.02,0.01,0.09,"869,666",0.002669987089
TN,0.05,0.74,0.17,0.02,0.00,"6,715,984",0.02061893942
TX,0.39,0.42,0.12,0.05,0.00,"28,304,596",0.0868987702
UT,0.14,0.78,0.01,0.02,0.01,"3,101,833",0.009523028454
VT,0.02,0.93,0.01,0.02,0.00,"623,657",0.001914707644
VA,0.09,0.62,0.19,0.06,0.00,"8,470,020",0.02600405678
WA,0.13,0.69,0.04,0.09,0.01,"7,405,743",0.02273658876
WV,0.01,0.92,0.04,0.01,0.00,"1,815,857",0.005574915825
WI,0.07,0.81,0.06,0.03,0.01,"5,795,483",0.01779288231
WY,0.10,0.84,0.01,0.01,0.02,"579,315",0.00177857197